t,m_dot,Pp,N,alpha
0.0,5.492486838305708,6679.868588986016,38500,0.35
0.1,5.400430112365944,6640.850140759012,38500,0.35
0.2,5.361223019108438,6644.845234438645,38500,0.35
0.30000000000000004,5.421361675487296,6655.615361823382,38500,0.35
0.4,5.423397727938023,6624.802630813539,38500,0.35
0.5,5.4803572725014105,6660.635718298883,38500,0.35
0.6000000000000001,5.454153456035072,6675.409643178774,38500,0.35
0.7000000000000001,5.430241446696772,6661.918994190189,38500,0.35
0.8,5.485563038300234,6624.282366436645,38500,0.35
0.9,5.352959741023075,6653.584131833605,38500,0.35
1.0,5.380412185801927,6669.361911583222,42500,0.65
1.1,5.572033017361679,5479.421446168218,42500,0.65
1.2000000000000002,5.804179361646849,5533.939002721511,42500,0.65
1.3,5.957142226195904,5612.045197565739,42500,0.65
1.4000000000000001,6.256177874809249,5639.694543563523,42500,0.65
1.5,6.408081643129679,5682.7691274117615,42500,0.65
1.6,6.536914907922487,5752.527265872667,42500,0.65
1.7000000000000002,6.747428707397159,5766.086712302623,42500,0.65
1.8,6.996455433210221,5810.994081489587,42500,0.65
1.9000000000000001,7.200838617580084,5893.29152643647,42500,0.65
2.0,7.432590967665566,5876.204637364711,42500,0.65
2.1,7.647416916259024,5905.759482543735,42500,0.65
2.2,7.685942770946279,5970.949480399957,42500,0.65
2.3000000000000003,7.773878547096608,6011.356758023782,42500,0.65
2.4000000000000004,7.869331939250442,6031.59971678744,42500,0.65
2.5,8.136492798849174,6060.280760556919,42500,0.65
2.6,8.224078082935955,6165.0274136778135,42500,0.65
2.7,8.380003971579148,6162.452784397591,42500,0.65
2.8000000000000003,8.500580364322898,6177.439931482114,42500,0.65
2.9000000000000004,8.64891893319097,6245.591082104026,42500,0.65
3.0,8.828325026231216,6301.9168102745825,38500,0.35
3.1,8.459841696813715,9060.036568287484,38500,0.35
3.2,8.142426965619926,8788.382840523795,38500,0.35
3.3000000000000003,7.831867395362589,8505.25423957827,38500,0.35
3.4000000000000004,7.562923268644995,8326.989469860346,38500,0.35
3.5,7.412439336332731,8177.165377947028,38500,0.35
3.6,7.247295775474869,7991.357034600637,38500,0.35
3.7,7.172423967150596,7838.83076748361,38500,0.35
3.8000000000000003,6.942384307788026,7717.379050892768,38500,0.35
3.9000000000000004,6.86102653483435,7620.732486719984,38500,0.35
4.0,6.702082485108863,7556.254553876797,42500,0.35
4.1000000000000005,6.6094114705917395,7507.779974599555,42500,0.35
4.2,6.578104061811086,7502.043490035338,42500,0.35
4.3,6.557063300013516,7424.814811984241,42500,0.35
4.4,6.668717109300703,7453.615578605017,42500,0.35
4.5,6.493330353434515,7408.052877796405,42500,0.35
4.6000000000000005,6.547439846399471,7401.3667945442385,42500,0.35
4.7,6.433925292262217,7351.693439246863,42500,0.35
4.800000000000001,6.499867520930392,7381.935496820191,42500,0.35
4.9,6.449017754503643,7363.068007226397,42500,0.35
5.0,6.400586667116216,7337.208623842136,42500,0.65
5.1000000000000005,6.593821616411414,5682.059506010911,42500,0.65
5.2,6.746435625700335,5769.645141078169,42500,0.65
5.300000000000001,6.984793888299529,5801.86793953963,42500,0.65
5.4,7.115995341217145,5802.340396949834,42500,0.65
5.5,7.249059291506981,5874.612995064582,42500,0.65
5.6000000000000005,7.413419687610771,5922.645061522777,42500,0.65
5.7,7.648281542377475,5966.552923588821,42500,0.65
5.800000000000001,7.876299777405334,5998.885702819974,42500,0.65
5.9,7.958395351285752,6040.906172184976,42500,0.65
6.0,8.092646877513483,6107.429434613544,38500,0.35
6.1000000000000005,7.87198288131866,8532.533674325845,38500,0.35
6.2,7.6931097346773765,8246.065105480267,38500,0.35
6.300000000000001,7.434762883117648,8121.1695364717325,38500,0.35
6.4,7.21947962211088,7970.4040689745825,38500,0.35
6.5,7.130224742827054,7803.582438598791,38500,0.35
6.6000000000000005,6.948643641444187,7722.57042450986,38500,0.35
6.7,6.871271114046851,7641.569730899756,38500,0.35
6.800000000000001,6.684457854330541,7503.01484912953,38500,0.35
6.9,6.506653121503505,7449.9957833309945,38500,0.35
7.0,6.402334626338043,7301.620173880534,42500,0.65
7.1000000000000005,6.739811371208045,5712.212277353999,42500,0.65
7.2,6.930322943167699,5796.441228679273,42500,0.65
7.300000000000001,7.017605233099439,5797.575290262263,42500,0.65
7.4,7.184945977660965,5859.030741058623,42500,0.65
7.5,7.449910507691912,5853.669856365564,42500,0.65
7.6000000000000005,7.489081497180421,5969.338334867621,42500,0.65
7.7,7.661992866465779,5984.710088280405,42500,0.65
7.800000000000001,7.895826155668052,6009.035044560159,42500,0.65
7.9,7.995389344487712,6063.562164978378,42500,0.65
8.0,8.160746270170602,6082.647487775484,42500,0.35
8.1,7.9813577684348855,8644.464074862144,42500,0.35
8.200000000000001,7.831674556759513,8458.085391831924,42500,0.35
8.3,7.7298907826355325,8322.123077213275,42500,0.35
8.4,7.5252195829189015,8195.876753782448,42500,0.35
8.5,7.427415664015205,8086.873722155271,42500,0.35
8.6,7.181454964227827,8019.49644392822,42500,0.35
8.700000000000001,7.18027650852689,7926.937851932716,42500,0.35
8.8,7.0508990792559905,7862.155817571733,42500,0.35
8.9,6.950727138747699,7783.581174572748,42500,0.35
9.0,6.894115073499078,7735.4183906026,42500,0.35
9.1,6.855635435223846,7665.340745683025,42500,0.35
9.200000000000001,6.85893737100721,7672.351049966057,42500,0.35
9.3,6.692970873686141,7554.65080389015,42500,0.35
9.4,6.711301589097635,7572.5796127657995,42500,0.35
9.5,6.641443503397014,7541.140434442873,42500,0.35
9.600000000000001,6.609139125556137,7466.527191385419,42500,0.35
9.700000000000001,6.638676544594625,7500.450010743945,42500,0.35
9.8,6.58090488376317,7449.925948388064,42500,0.35
9.9,6.589083485745707,7425.53226463033,42500,0.35
10.0,6.48575467205597,7365.650760442482,42500,0.65
10.100000000000001,6.644491923037043,5726.120846182562,42500,0.65
10.200000000000001,6.854434694396074,5767.560056547276,42500,0.65
10.3,7.059610696988628,5821.040313887818,42500,0.65
10.4,7.233289552823866,5882.6196693794445,42500,0.65
10.5,7.342311926696696,5899.456674065467,42500,0.65
10.600000000000001,7.568083616084473,5918.597215134972,42500,0.65
10.700000000000001,7.736640176118414,5993.827159495005,42500,0.65
10.8,8.007651282956763,6035.820113568303,42500,0.65
10.9,8.127312659120326,6070.092466081133,42500,0.65
11.0,8.137078379315703,6110.812815760503,42500,0.65
11.100000000000001,8.306092482477933,6128.574062746418,42500,0.65
11.200000000000001,8.38233535421274,6152.573695683965,42500,0.65
11.3,8.555216322006187,6189.906370403882,42500,0.65
11.4,8.723848270547332,6209.518480706469,42500,0.65
11.5,8.885622892952478,6280.649811589968,42500,0.65
11.600000000000001,8.900110482373387,6306.587693091312,42500,0.65
11.700000000000001,9.009839494180147,6330.659176135997,42500,0.65
11.8,9.035654518008794,6310.245085279578,42500,0.65
11.9,9.227790251763404,6372.329658962628,42500,0.65
12.0,9.245097135475136,6438.748576261255,38500,0.65
12.100000000000001,9.302931651664519,6413.017134118315,38500,0.65
12.200000000000001,9.294138674647535,6436.693656700164,38500,0.65
12.3,9.329855445029835,6400.90880258451,38500,0.65
12.4,9.236370542650395,6454.3442485002815,38500,0.65
12.5,9.2414883292932,6419.412525930492,38500,0.65
12.600000000000001,9.412493932195463,6425.036473336558,38500,0.65
12.700000000000001,9.236477034411607,6464.045738310831,38500,0.65
12.8,9.2419368327675,6446.727150968677,38500,0.65
12.9,9.386436169508432,6409.926961355407,38500,0.65
13.0,9.486633968196498,6418.5713715314005,42500,0.65
13.100000000000001,9.353901355184673,6445.374568528529,42500,0.65
13.200000000000001,9.47360757196984,6486.049334408335,42500,0.65
13.3,9.582334508978425,6496.398511998165,42500,0.65
13.4,9.718349558875168,6511.928128961301,42500,0.65
13.5,9.649229767956967,6570.506654053738,42500,0.65
13.600000000000001,9.749033411675535,6558.992356736963,42500,0.65
13.700000000000001,9.857654600715842,6625.762992746646,42500,0.65
13.8,9.894376735485096,6598.9550184287355,42500,0.65
13.9,9.906125320445398,6649.810271617488,42500,0.65
14.0,9.967873634565253,6637.426034772077,42500,0.65
14.100000000000001,9.952519059730392,6664.833400966679,42500,0.65
14.200000000000001,10.053121638881676,6645.495312254115,42500,0.65
14.3,10.092544836085164,6656.444493214455,42500,0.65
14.4,10.15537399814581,6695.364741747191,42500,0.65
14.5,10.152695198614525,6718.141100295496,42500,0.65
14.600000000000001,10.238411496941922,6710.644999363116,42500,0.65
14.700000000000001,10.297440860883196,6694.832490606653,42500,0.65
14.8,10.28414452347152,6703.326332076061,42500,0.65
14.9,10.3211263525223,6711.210567559945,42500,0.65
15.0,10.330083969929158,6712.598163257491,38500,0.65
15.100000000000001,10.294697043938067,6740.545162586429,38500,0.65
15.200000000000001,10.199296157192103,6741.835997205147,38500,0.65
15.3,10.183305652379055,6695.622404699282,38500,0.65
15.4,10.101991869764698,6629.905049211929,38500,0.65
15.5,10.155722131182468,6652.722511169208,38500,0.65
15.600000000000001,10.075202756614956,6635.168396132724,38500,0.65
15.700000000000001,9.967134778695339,6664.36581763098,38500,0.65
15.8,9.864731024998516,6578.690469552274,38500,0.65
15.9,9.804301062941244,6586.14675562685,38500,0.65
16.0,9.896459129607571,6620.4445405318265,42500,0.65
16.1,9.881201972676486,6604.526893722541,42500,0.65
16.2,9.941367098344397,6622.446033741407,42500,0.65
16.3,9.879834628960428,6629.889132752607,42500,0.65
16.400000000000002,10.057744504116535,6648.902733771493,42500,0.65
16.5,10.078355840934746,6672.546978314239,42500,0.65
16.6,10.04020067763114,6654.102115806362,42500,0.65
16.7,10.109554106727145,6700.255539113617,42500,0.65
16.8,10.182332713588528,6667.204308378482,42500,0.65
16.900000000000002,10.20572028675945,6712.681452126469,42500,0.65
17.0,10.220196646313525,6721.622943705252,38500,0.35
17.1,9.703927556066951,10374.81167896968,38500,0.35
17.2,9.220342762929134,9863.037734571031,38500,0.35
17.3,8.826953918957923,9418.04148512571,38500,0.35
17.400000000000002,8.534587627277368,9051.82602171635,38500,0.35
17.5,8.022803134071163,8771.104750649933,38500,0.35
17.6,7.869017147860489,8507.717275907993,38500,0.35
17.7,7.6544745255328,8329.11297881202,38500,0.35
17.8,7.452476670437628,8118.812697180511,38500,0.35
17.900000000000002,7.2329056304611745,7996.598686572942,38500,0.35
18.0,6.997757212060111,7816.351835181269,38500,0.65
18.1,7.199228094056647,5833.8703107370075,38500,0.65
18.2,7.369252960458601,5856.404397517571,38500,0.65
18.3,7.302148335571486,5918.463693105808,38500,0.65
18.400000000000002,7.514806052172088,5921.085442017816,38500,0.65
18.5,7.544666816462324,5932.213930814461,38500,0.65
18.6,7.644081247486764,5967.836820648861,38500,0.65
18.7,7.677132887431188,5936.577271045245,38500,0.65
18.8,7.79226131356522,5998.1619935656445,38500,0.65
18.900000000000002,7.9498721676608755,6058.595890503664,38500,0.65
19.0,7.986613369562146,6040.541367327627,38500,0.35
19.1,7.822235409076269,8400.420426508408,38500,0.35
19.200000000000003,7.57946102236605,8221.316030595373,38500,0.35
19.3,7.349921461094733,8064.370997729402,38500,0.35
19.400000000000002,7.241563608383248,7863.194542402026,38500,0.35
19.5,7.0204097442235245,7743.437975809834,38500,0.35
19.6,6.899885742667899,7670.63329987814,38500,0.35
19.700000000000003,6.717881079503683,7554.692435024,38500,0.35
19.8,6.622991228494449,7509.18513876662,38500,0.35
19.900000000000002,6.4827446527080435,7399.787498237518,38500,0.35
20.0,6.4746502273724875,7259.0118316537555,42500,0.65
20.1,6.552723739543343,5690.54008141063,42500,0.65
20.200000000000003,6.837674614744537,5701.80841529377,42500,0.65
20.3,6.970936405461288,5793.1766303424465,42500,0.65
20.400000000000002,7.216263441716476,5834.996977005159,42500,0.65
20.5,7.367892825238536,5871.150047269268,42500,0.65
20.6,7.58947135053519,5942.092418764908,42500,0.65
20.700000000000003,7.698508822152668,5985.361665839003,42500,0.65
20.8,7.739574185237481,5997.715788634559,42500,0.65
20.900000000000002,7.9667271361108405,5997.607212089227,42500,0.65
21.0,8.057119034289526,6094.8757532167165,38500,0.35
21.1,7.8497199106486875,8535.582016544111,38500,0.35
21.200000000000003,7.721228138671968,8325.646264820265,38500,0.35
21.3,7.471731024609434,8160.666967728289,38500,0.35
21.400000000000002,7.218470210339643,7960.485046127364,38500,0.35
21.5,7.036555855177222,7888.409565978763,38500,0.35
21.6,6.938024251162491,7707.64269045403,38500,0.35
21.700000000000003,6.74214431353467,7637.827449872455,38500,0.35
21.8,6.648332965792103,7496.079592768224,38500,0.35
21.900000000000002,6.588221740745284,7428.525336353571,38500,0.35
22.0,6.5324033190234925,7404.921450288528,38500,0.35
22.1,6.416810793302233,7305.102318321947,38500,0.35
